canonical,aliases,family_pct
paprika,"paprika;paprika gul;paprika röd;paprikamix;gul paprika;röd paprika;paprika mix",0.9
kiwi,"kiwi;kiwi grön;kiwi ica",1.0
mellanmjölk,"mellanmjölk;mellanmj esl 1.5%;mellanmj esl;mellanmjölk 1,5%;mellanmj 1,5%;mellanmj 1.5%;mellanmjölk esl",0.3
wienerfläta,"wienerfläta;*wienerfläta",0
vätskeersättning,"vätskeersätt sport;vätskeersätt;vätskeersättning sport",0
äpple,"äpple;ica merpack äpple;äpple pink lady",1.0
babyplommontomater,"babyplommontom;babyplommontomat",1.0
bacon tärnad,"bacon tärnad",0
bregott,"bregott ns;bregott",0.8
broccoli,"broccolibuketter;broccoli buketter",0
kabanoss,"brunos kabanos;kabanos;kabanoss",0
dumplings kyckling,"dumplings kyckling;kycklingdumplings",0
honung,"flytande honung;honung flytande",1.0
grevé,"grevé 28% mellanla;grevé 28%;greve 28%",1.0
senap,"grov-stark senap t;grov stark senap;senap grov stark",0
gul lök,"gul lök ica;gul lök",0
matlådor,"ica mat&kök 4-p;mat&kök 4-p;matlåda;matlådor",1.0
isformar,"islåda srt färger;islåda;isformar",0
jasminris,"jasminris;jasmin ris",0
korvbröd,"korvbröd 8-p;korvbröd;korv bröd",0
krysantemum,"krysantemum;krisantemum",0
lantbröd,"lantbröd havssalt;lantbröd",0
lingongrova,"lingongrova",1.0
lingonsylt,"lingonsylt",1.0
lönnsirap,"lönnsirap;maple syrup",0
marmelad,"orange marmalade;marmelad apelsin;apelsinmarmelad",1.0
pant,"pant",0
picadeli sallad,"picadeli sallad;picadeli",0
piggelin,"piggelin",0.5
påsklämmor,"påsklämmor;påsk lämmor;pås clips;påsklämma",0
romansallad,"sallat roman ica;romansallad;roman sallad",0
chips salt & vinäger,"salt & vinägerchip;salt & vinäger chips;vinägerchips",0
sandwich,"sandwich",0
småcitrus,"småcitrus tango;småcitrus",0.5
stjärnmix,"stjärnmix",1.0
strösocker,"strösocker",0.8
surkål,"surkål",0
ketchup,"tomatketchup;ketchup",0.5
tonic water,"tonic water;tonic",0
universalspray,"universalspray",0.5
varmkorv,"varmkorv siljans;varmkorv",0
vispgrädde,"vispgrädde 36%;vispgrädde",1.0
vitamin d,"vitamin d 12,5 mcg;vitamin d 12.5 mcg;vitamin d",0
ägg,"ägg 20-pack;ägg 20 pack;ägg",0.5
parmesan,"parmigi regg 15mån;parmigiano reggiano;parmesan",0
bröd,"lantbröd havssalt;lingongrova;korvbröd 8-p;bröd",0.8
kaffe,"*kaffe kharisma bry;kaffe kharisma;kaffe",0.5
gurka,"*gurka;gurka",0.8
paprikamix,"paprikamix;paprika mix;mix paprika",1.0
*Avfallspåse 20p RB,,0.8,
*Blandfärs 50/50,,0,
*Falukorv ring ICA,,0,
*Kycklingköttbullar,,0,
*Rökt kalkon plb,,0,
*Tvättservetter,,1.0,
Banan Eko,,0.5,
Chokladbollar,,0.5,
Clementin,,0.5,
Diskborste RB,,0.8,
Falukorv ring Lith,,0,
Filmjölk Blåb/ha,,0,
Frysta Hallon,,0.8,
Grillad kyckling,,0,
Habanero Röd ICA,,0,
Hushållsduk 10p,,0.8,
ICA Bad&Toalett 24,,0.9,
Kulörtvätt,,0.5,
Kycklingköttbullar,,0,
Lättmajonnäs,,0,
Mellanfil 1.5%,,0,
Panko,,0,
Satsumas,,0.5,
Smör & Raps NS 75%,,0.5,
Smör normalsaltat,,0.5,
Tvättservetter,,1.0,

*Hundbajspåsar rosa,,0,
*Hundbajspåsar svar,,0,
*Kalkonbacon,,0,
*Krossade Tomater,,0,
*Tomatpure Tub,,0,
Bönmix,,0,
Dentalsticks Small,,0,
Earl Grey,,0,
Energidryck S.fri,,0,
Extra fin Falukorv,,0,
Grytbitar nöt,,0,
Grytbitar nöt ICA,,0,
Hamburgare,,0,
Handtvål Peach,,1.0,
Ingefära,,0,
Jordgubbar hela,,0.8,
Kryddnejlikor Hela,,0,
Lagerblad Hela,,0,
Mafalda Corta,,0,
Mini,,0,
Morot,,0,
Mumsbit stor mande,,0,
Nötfärs 12%,,0,
Pastasås Basilika,,0,
Potatis fast,,0,
Sallad Isberg ICA,,1.0,
Salladslök,,0,
Spiskummin Mald,,0,
Svenska blåbär,,0.8,
Syltlök,,0,
Sötpotatis,,0,
Te rabarber/vanilj,,0,
Toast,,0,
Vanillinsocker,,0,
Vitlök solo,,0,
Vittvätt pulver,,0.8,
Vätskeers Sport Ci,,0,
−,,0,
Allrengöring,,0.8,
Donutkakor citron,,0,
Drömtårta,,0,
Fam F Shower 500ml,,0,
Flergångsbärkasse,,0.5,
Grillkrydda,,0,
Gurkmeja,,0,
ICA Bsc hushåll,,0.5,
Kardemumma Mald,,0,
Lösviktsgodis,,0,
Salt Fink med jod,,0,
Soja Japansk,,0,
Tellicherry Peppar,,0,
